,PTEC,eTEC,aS,P,eP,S2,LH,CC,S1,DTEC
eTEC,0.7791981080460207,0.038799906027875974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18200198592610334
PTEC,0.9761253051895689,4.8344591138847646e-21,0.0,2.1502474731167393e-06,0.00010039018518798313,9.666747897577543e-06,0.0,3.847695786057711e-22,0.0,0.023762487629872354
aS,1.1442382684633543e-07,0.0,0.9965410398635555,0.0,7.61878941803811e-21,0.0020805990470397022,0.0004364493152469079,0.0003784330429527355,0.0005633643073782862,0.0
eP,0.0057114817332364655,0.0,0.0,4.231053319928014e-16,0.9942885182667631,0.0,0.0,0.0,0.0,2.474823538152393e-24
P,6.115371169475023e-10,0.0,1.973305585863183e-07,0.993739693939669,0.0,5.719146496466826e-25,0.0,0.0,0.0,0.006260108118235303
S2,0.014058989404906536,0.0,0.5231509191396495,1.6217270437905984e-28,0.0,0.27530137217442563,0.16751317305380004,9.747154181252804e-09,0.019975536480064136,3.3600802743311157e-29
LH,0.0,0.0,0.005609034069081654,0.0,0.0,2.6752555420867778e-12,0.9943754844166038,2.7739913181486513e-07,9.356423626298888e-09,1.5194756083528769e-05
CC,5.593741911724955e-06,0.0,2.660324405232585e-14,0.0,0.0,1.0462451154670459e-29,7.478821641382033e-13,0.9999919481952195,0.0,2.458062094270406e-06
S1,0.0,0.0,0.007505430581957704,5.251128908498739e-09,0.0,7.368205246110159e-06,0.002898073047453605,0.000866492330010808,0.9886996295088843,2.300107531852487e-05
DTEC,0.022857915026124866,5.5553759321127386e-05,4.3997324061500236e-23,0.0015250952015351872,0.0011306135835123926,6.705199861125738e-05,1.7846491256863443e-06,5.1129248731597464e-05,3.22263772617866e-05,0.9742786301557761
